Scan File_Name;TANAP Boundaries;TANAP ID;Subdocument boundaries;Type of non-document page
NL-HaNA_1.04.02_8697_0001;;;;Cover
NL-HaNA_1.04.02_8697_0002;;;;Empty
NL-HaNA_1.04.02_8697_0003;;;;Section title page
NL-HaNA_1.04.02_8697_0004;;;;Empty
NL-HaNA_1.04.02_8697_0005;;;;Table of contents
NL-HaNA_1.04.02_8697_0006;;;;Table of contents
NL-HaNA_1.04.02_8697_0007;;;;Empty
NL-HaNA_1.04.02_8697_0008;;;;Empty
NL-HaNA_1.04.02_8697_0009;START;153037;;
NL-HaNA_1.04.02_8697_0010;;153037;;
NL-HaNA_1.04.02_8697_0011;END;153037;;
NL-HaNA_1.04.02_8697_0012;START;153038;;
NL-HaNA_1.04.02_8697_0013;;153038;;
NL-HaNA_1.04.02_8697_0014;;153038;;
NL-HaNA_1.04.02_8697_0015;;153038;;
NL-HaNA_1.04.02_8697_0016;;153038;;
NL-HaNA_1.04.02_8697_0017;;153038;;
NL-HaNA_1.04.02_8697_0018;;153038;;
NL-HaNA_1.04.02_8697_0019;;153038;;
NL-HaNA_1.04.02_8697_0020;;153038;;
NL-HaNA_1.04.02_8697_0021;;153038;;
NL-HaNA_1.04.02_8697_0022;;153038;;
NL-HaNA_1.04.02_8697_0023;;153038;;
NL-HaNA_1.04.02_8697_0024;;153038;;
NL-HaNA_1.04.02_8697_0025;;153038;;
NL-HaNA_1.04.02_8697_0026;;153038;;
NL-HaNA_1.04.02_8697_0027;;153038;;
NL-HaNA_1.04.02_8697_0028;;153038;;
NL-HaNA_1.04.02_8697_0029;;153038;;
NL-HaNA_1.04.02_8697_0030;;153038;;
NL-HaNA_1.04.02_8697_0031;;153038;;
NL-HaNA_1.04.02_8697_0032;;153038;;
NL-HaNA_1.04.02_8697_0033;;153038;;
NL-HaNA_1.04.02_8697_0034;;153038;;
NL-HaNA_1.04.02_8697_0035;;153038;;
NL-HaNA_1.04.02_8697_0036;;153038;START;
NL-HaNA_1.04.02_8697_0037;;153038;;
NL-HaNA_1.04.02_8697_0038;;153038;;
NL-HaNA_1.04.02_8697_0039;;153038;;
NL-HaNA_1.04.02_8697_0040;;153038;END;
NL-HaNA_1.04.02_8697_0041;;153038;START;
NL-HaNA_1.04.02_8697_0042;;153038;;
NL-HaNA_1.04.02_8697_0043;;153038;END;
NL-HaNA_1.04.02_8697_0044;;153038;;
NL-HaNA_1.04.02_8697_0045;;153038;;
NL-HaNA_1.04.02_8697_0046;;153038;;
NL-HaNA_1.04.02_8697_0047;;153038;;
NL-HaNA_1.04.02_8697_0048;;153038;;
NL-HaNA_1.04.02_8697_0049;;153038;;
NL-HaNA_1.04.02_8697_0050;;153038;;
NL-HaNA_1.04.02_8697_0051;;153038;;
NL-HaNA_1.04.02_8697_0052;;153038;;
NL-HaNA_1.04.02_8697_0053;;153038;;
NL-HaNA_1.04.02_8697_0054;;153038;;
NL-HaNA_1.04.02_8697_0055;;153038;;
NL-HaNA_1.04.02_8697_0056;;153038;;
NL-HaNA_1.04.02_8697_0057;;153038;;
NL-HaNA_1.04.02_8697_0058;;153038;;
NL-HaNA_1.04.02_8697_0059;;153038;;
NL-HaNA_1.04.02_8697_0060;;153038;;
NL-HaNA_1.04.02_8697_0061;;153038;;
NL-HaNA_1.04.02_8697_0062;END;153038;;
NL-HaNA_1.04.02_8697_0063;START;153039;START;
NL-HaNA_1.04.02_8697_0064;END;153039;END/START/END/START/END;
NL-HaNA_1.04.02_8697_0065;SAME AS NL-HaNA_1.04.02_8697_0067;;;
NL-HaNA_1.04.02_8697_0066;SAME AS NL-HaNA_1.04.02_8697_0064;;;
NL-HaNA_1.04.02_8697_0067;START;153040;START;
NL-HaNA_1.04.02_8697_0068;;153040;;
NL-HaNA_1.04.02_8697_0069;;153040;;
NL-HaNA_1.04.02_8697_0070;;153040;;
NL-HaNA_1.04.02_8697_0071;;153040;;
NL-HaNA_1.04.02_8697_0072;;153040;;
NL-HaNA_1.04.02_8697_0073;;153040;;
NL-HaNA_1.04.02_8697_0074;;153040;END;
NL-HaNA_1.04.02_8697_0075;;153040;START;
NL-HaNA_1.04.02_8697_0076;;153040;;
NL-HaNA_1.04.02_8697_0077;;153040;;
NL-HaNA_1.04.02_8697_0078;;153040;END/START;
NL-HaNA_1.04.02_8697_0079;;153040;;
NL-HaNA_1.04.02_8697_0080;;153040;;
NL-HaNA_1.04.02_8697_0081;;153040;;
NL-HaNA_1.04.02_8697_0082;;153040;END/START;
NL-HaNA_1.04.02_8697_0083;;153040;;
NL-HaNA_1.04.02_8697_0084;;153040;;
NL-HaNA_1.04.02_8697_0085;;153040;;
NL-HaNA_1.04.02_8697_0086;;153040;;
NL-HaNA_1.04.02_8697_0087;;153040;END/START;
NL-HaNA_1.04.02_8697_0088;;153040;;
NL-HaNA_1.04.02_8697_0089;;153040;;
NL-HaNA_1.04.02_8697_0090;;153040;;
NL-HaNA_1.04.02_8697_0091;;153040;;
NL-HaNA_1.04.02_8697_0092;;153040;;
NL-HaNA_1.04.02_8697_0093;;153040;END/START;
NL-HaNA_1.04.02_8697_0094;;153040;;
NL-HaNA_1.04.02_8697_0095;;153040;;
NL-HaNA_1.04.02_8697_0096;;153040;END/START;
NL-HaNA_1.04.02_8697_0097;;153040;;
NL-HaNA_1.04.02_8697_0098;;153040;;
NL-HaNA_1.04.02_8697_0099;;153040;;
NL-HaNA_1.04.02_8697_0100;;153040;;
NL-HaNA_1.04.02_8697_0101;;153040;END/START;
NL-HaNA_1.04.02_8697_0102;;153040;;
