Scan File_Name;TANAP Boundaries;TANAP ID;Subdocument boundaries;Type of non-document page
NL-HaNA_1.04.02_8284_0001;;;;Cover
NL-HaNA_1.04.02_8284_0002;;;;Empty
NL-HaNA_1.04.02_8284_0003;;;;Section title page
NL-HaNA_1.04.02_8284_0004;;;;Empty
NL-HaNA_1.04.02_8284_0005;;;;Table of contents
NL-HaNA_1.04.02_8284_0006;;;;Table of contents
NL-HaNA_1.04.02_8284_0007;;;;Empty
NL-HaNA_1.04.02_8284_0008;;;;Empty
NL-HaNA_1.04.02_8284_0009;START;140908;;
NL-HaNA_1.04.02_8284_0010;;140908;;
NL-HaNA_1.04.02_8284_0011;;140908;;
NL-HaNA_1.04.02_8284_0012;END;140908;;
NL-HaNA_1.04.02_8284_0012;START;140909;START;
NL-HaNA_1.04.02_8284_0013;;140909;;
NL-HaNA_1.04.02_8284_0014;;140909;;
NL-HaNA_1.04.02_8284_0015;;140909;;
NL-HaNA_1.04.02_8284_0016;;140909;;
NL-HaNA_1.04.02_8284_0017;;140909;;
NL-HaNA_1.04.02_8284_0018;;140909;;
NL-HaNA_1.04.02_8284_0019;;140909;;
NL-HaNA_1.04.02_8284_0020;;140909;;
NL-HaNA_1.04.02_8284_0021;;140909;;
NL-HaNA_1.04.02_8284_0022;;140909;;
NL-HaNA_1.04.02_8284_0023;;140909;;
NL-HaNA_1.04.02_8284_0024;;140909;;
NL-HaNA_1.04.02_8284_0025;;140909;;
NL-HaNA_1.04.02_8284_0026;;140909;END/START;
NL-HaNA_1.04.02_8284_0027;;140909;;
NL-HaNA_1.04.02_8284_0028;;140909;;
NL-HaNA_1.04.02_8284_0029;;140909;;
NL-HaNA_1.04.02_8284_0030;;140909;;
NL-HaNA_1.04.02_8284_0031;;140909;;
NL-HaNA_1.04.02_8284_0032;;140909;;
NL-HaNA_1.04.02_8284_0033;;140909;;
NL-HaNA_1.04.02_8284_0034;;140909;;
NL-HaNA_1.04.02_8284_0035;;140909;;
NL-HaNA_1.04.02_8284_0036;;140909;;
NL-HaNA_1.04.02_8284_0037;;140909;;
NL-HaNA_1.04.02_8284_0038;;140909;;
NL-HaNA_1.04.02_8284_0039;;140909;;
NL-HaNA_1.04.02_8284_0040;;140909;;
NL-HaNA_1.04.02_8284_0041;;140909;;
NL-HaNA_1.04.02_8284_0042;;140909;;
NL-HaNA_1.04.02_8284_0043;;140909;;
NL-HaNA_1.04.02_8284_0044;;140909;;
NL-HaNA_1.04.02_8284_0045;;140909;;
NL-HaNA_1.04.02_8284_0046;;140909;;
NL-HaNA_1.04.02_8284_0047;;140909;;
NL-HaNA_1.04.02_8284_0048;;140909;;
NL-HaNA_1.04.02_8284_0049;;140909;;
NL-HaNA_1.04.02_8284_0050;;140909;;
