Scan File_Name;TANAP Boundaries;TANAP ID;Subdocument boundaries;Type of non-document page
NL-HaNA_1.04.02_1547_0001;;;;Cover
NL-HaNA_1.04.02_1547_0002;;;;Empty
NL-HaNA_1.04.02_1547_0003;;;;Empty
NL-HaNA_1.04.02_1547_0004;;;;Empty
NL-HaNA_1.04.02_1547_0005;;;;Section title page
NL-HaNA_1.04.02_1547_0006;;;;Empty
NL-HaNA_1.04.02_1547_0007;;;;Empty
NL-HaNA_1.04.02_1547_0008;;;;Empty
NL-HaNA_1.04.02_1547_0009;;;;Empty
NL-HaNA_1.04.02_1547_0010;;;;Empty
NL-HaNA_1.04.02_1547_0011;;;;Table of contents
NL-HaNA_1.04.02_1547_0012;;;;Table of contents
NL-HaNA_1.04.02_1547_0013;;;;Table of contents
NL-HaNA_1.04.02_1547_0014;;;;Table of contents
NL-HaNA_1.04.02_1547_0015;START;40.600;;
NL-HaNA_1.04.02_1547_0016;;40.600;;
NL-HaNA_1.04.02_1547_0017;;40.600;;
NL-HaNA_1.04.02_1547_0018;;40.600;;
NL-HaNA_1.04.02_1547_0019;END;40.600;;
NL-HaNA_1.04.02_1547_0020;;;;Empty
NL-HaNA_1.04.02_1547_0021;;;;Empty
NL-HaNA_1.04.02_1547_0022;;;;Section title page
NL-HaNA_1.04.02_1547_0023;;;;Document title page
NL-HaNA_1.04.02_1547_0024;;;;Empty
NL-HaNA_1.04.02_1547_0025;;;;Empty
NL-HaNA_1.04.02_1547_0026;;;;Empty
NL-HaNA_1.04.02_1547_0027;START;40.601;;
NL-HaNA_1.04.02_1547_0028;;40.601;;
NL-HaNA_1.04.02_1547_0029;;40.601;;
NL-HaNA_1.04.02_1547_0030;;40.601;;
NL-HaNA_1.04.02_1547_0031;;40.601;;
NL-HaNA_1.04.02_1547_0032;;40.601;;
NL-HaNA_1.04.02_1547_0033;;40.601;;
NL-HaNA_1.04.02_1547_0034;;40.601;;
NL-HaNA_1.04.02_1547_0035;;40.601;;
NL-HaNA_1.04.02_1547_0036;;40.601;;
NL-HaNA_1.04.02_1547_0037;;40.601;;
NL-HaNA_1.04.02_1547_0038;;40.601;;
NL-HaNA_1.04.02_1547_0039;;40.601;;
NL-HaNA_1.04.02_1547_0040;;40.601;;
NL-HaNA_1.04.02_1547_0041;;40.601;;
NL-HaNA_1.04.02_1547_0042;;40.601;;
NL-HaNA_1.04.02_1547_0043;;40.601;;
NL-HaNA_1.04.02_1547_0044;;40.601;;
NL-HaNA_1.04.02_1547_0045;;40.601;;
NL-HaNA_1.04.02_1547_0046;;40.601;;
NL-HaNA_1.04.02_1547_0047;;40.601;;
NL-HaNA_1.04.02_1547_0048;;40.601;;
NL-HaNA_1.04.02_1547_0049;;40.601;;
NL-HaNA_1.04.02_1547_0050;;40.601;;
NL-HaNA_1.04.02_1547_0051;;40.601;;
NL-HaNA_1.04.02_1547_0052;;40.601;;
NL-HaNA_1.04.02_1547_0053;;40.601;;
NL-HaNA_1.04.02_1547_0054;;40.601;;
NL-HaNA_1.04.02_1547_0055;;40.601;;
NL-HaNA_1.04.02_1547_0056;;40.601;;
NL-HaNA_1.04.02_1547_0057;;40.601;;
NL-HaNA_1.04.02_1547_0058;;40.601;;
NL-HaNA_1.04.02_1547_0059;;40.601;;
NL-HaNA_1.04.02_1547_0060;;40.601;;
NL-HaNA_1.04.02_1547_0061;;40.601;;
NL-HaNA_1.04.02_1547_0062;;40.601;;
NL-HaNA_1.04.02_1547_0063;;40.601;;
NL-HaNA_1.04.02_1547_0064;;40.601;;
NL-HaNA_1.04.02_1547_0065;;40.601;;
NL-HaNA_1.04.02_1547_0066;;40.601;;
NL-HaNA_1.04.02_1547_0067;;40.601;;
NL-HaNA_1.04.02_1547_0068;;40.601;;
NL-HaNA_1.04.02_1547_0069;;40.601;;
NL-HaNA_1.04.02_1547_0070;;40.601;;
NL-HaNA_1.04.02_1547_0071;;40.601;;
